,death,predicted_death,lower_bound,upper_bound,infected,symptomatic,hospitalized,confirmed,ICU,hospital_beds
2020-03-12,42.0,41.640151877657246,33.122041987025696,52.4173169288284,1134201.0833237574,8299.377977272967,1773.788626515203,1550.0,139.5524202443134,1092.4310978094743
2020-03-13,51.0,53.40662974876726,42.91655677222147,66.55277994335019,1440499.6810196878,10554.53177145754,2255.7724766448473,2146.0,177.22148618095775,1387.3085279721568
2020-03-14,58.0,68.34920610668922,55.47754117432996,84.32850364975403,1829476.7593375253,13418.414076560744,2867.857126166905,2859.0,225.05847701675532,1761.7815491004421
2020-03-15,71.0,87.32519795897875,71.57627056005661,106.69599975149092,2323449.531641508,17055.337588666003,3645.1603865972447,2957.0,285.80799748729237,2237.3352171976617
2020-03-16,99.0,111.42333593417828,92.19388847951132,134.86221449755956,2950759.2457072292,21673.967554476476,4632.279340074385,4349.0,362.95549721335175,2841.2540003434488
2020-03-17,133.0,142.02622923177884,118.57599718413803,170.36116147976503,3747397.2375661274,27539.293753963808,5885.849057219717,6130.0,460.9272452680358,3608.1872007445577
2020-03-18,190.0,180.88969159340022,152.3004072570303,215.14678422212393,4519364.9742141515,34987.83405293874,7477.791983863381,8903.0,585.344283421876,4582.136927583073
2020-03-19,268.0,230.2434795521218,195.36099390790687,271.7135097436135,5267426.443181885,44446.94181582889,9499.444427304608,14142.0,743.3449284071423,5818.982678833261
2020-03-20,365.0,292.9192227272812,250.2714143514949,343.2527321867234,5992321.972862953,56459.32492427259,12066.796895579831,19468.0,943.9943264814823,7389.68737767988
2020-03-21,455.0,372.5128860514426,320.1936203280545,433.8555836397185,6694768.965189276,71714.18315837887,15327.14894953588,25807.0,1198.804558119139,9384.368807021518
2020-03-22,599.0,473.59108505508516,409.097745552814,548.7749114885754,7375462.605616873,91086.75042016592,19467.56038391782,33745.0,1522.395133373098,11917.470036986651
2020-03-23,783.0,601.9530913646826,521.9620532940055,694.7626466156802,8035076.551124846,115688.51049902324,24725.583616457912,43834.0,1933.331773241187,15134.325494135384
2020-03-24,1018.0,764.9635607462287,665.0240823231088,880.5031488882037,8674263.596908439,146930.96746400814,31402.893046229194,54097.0,2455.191601369817,19219.49939471812
2020-03-25,1328.0,971.9750736693111,846.096832802304,1117.1691650021373,9293656.322425973,186606.62945242756,39882.593353558055,66033.0,3117.915860520483,24407.374952171474
2020-03-26,1735.0,1234.8647312801913,1074.9668786031605,1419.135164252648,9893867.717439018,236991.8522274338,50651.19978978488,84069.0,3959.5277647012786,30995.601905198564
2020-03-27,2283.0,1568.7155934998436,1363.8950084816256,1804.8933742673264,10475491.788665392,300977.44306213735,64326.5515564176,102243.0,5028.314047199192,39362.173906378026
2020-03-28,2920.0,1992.6820561507977,1728.2448214264195,2298.2312464621396,11039104.147645328,382234.51823174494,81693.25977894157,122043.0,6385.595368888197,49987.11557126064
2020-03-29,3545.0,2531.088817354549,2187.271017576135,2929.746055293149,11585262.580402648,460975.2273698434,98522.15643786851,141183.0,8109.244536521905,63480.02346307636
2020-03-30,4351.0,3214.8264854176214,2765.107247424523,3738.793973335584,12114507.59946468,537277.4972045522,114829.8964613651,162679.0,10298.15438565126,75389.47371917832
2020-03-31,5567.0,4083.123899965527,3492.0036363643103,4775.998740868182,12627362.97878724,611216.8412320211,130632.61900841238,188690.0,13077.91166896966,85449.87241265786
2020-04-01,6786.0,5185.7988516708765,4405.876931043835,6106.480828699385,13124336.272114083,682866.434449306,145945.96344112622,214183.0,16608.002484374934,93318.92305887362
2020-04-02,8348.0,6586.116333615092,5554.252229436105,7814.014117671935,13605919.315283822,752297.1857729208,160785.08480244782,244582.0,21090.96264776461,98557.07766201688
2020-04-03,9645.0,8364.41831390943,6996.695262428992,10006.376561655094,14072588.712981414,819577.8082147341,175164.66881452163,276524.0,24914.299565601403,100601.4362236261
2020-04-04,10911.0,10622.733284546026,8807.859213827898,12822.237877060717,14524806.310415953,884774.8868846606,189098.94641260395,309688.0,27957.863392949497,102088.46534178719
2020-04-05,12322.0,13490.630055238058,11081.301379274853,16440.025922145564,14963019.650391562,947952.944887449,202601.7078288862,337562.0,30067.279443502324,102902.07473109505
2020-04-06,13984.0,16269.713907170946,13337.869546688766,19862.615661557364,15387662.416223723,1009174.5071787797,215686.3162401706,367199.0,31044.76548402069,102893.77442139087
2020-04-07,16289.0,18962.73519545479,15568.166496074182,23114.363668094535,15799154.860939408,1068500.1624438697,228365.72099290552,397981.0,31500.40638374633,102736.89986676947
2020-04-08,18368.0,21572.359102306633,17759.940623454746,26221.498135162823,16197904.223185733,1125988.6230598232,240652.47041866815,429675.0,31317.67307134864,102395.87841916064
2020-04-09,20414.0,24101.168274681397,19898.502685427928,29211.767131324843,16584305.130258791,1181696.7832010698,252558.72425277773,464431.0,30347.828555801454,101825.3950506539
2020-04-10,22485.0,26551.665380220744,21968.452899508833,32112.772200629377,16958739.98865149,1235679.775145397,264096.26566833,497932.0,29408.018148541756,100967.76696109552
2020-04-11,24497.0,28926.275584049446,23956.275683844182,34949.4303094722,17321579.362506934,1287991.0238362981,275276.51293756184,527947.0,28497.311754439685,99749.60938492807
2020-04-12,26237.0,31227.34894887038,25852.336379767705,37742.030062039354,17673182.340351835,1338682.2997556361,286110.53073208703,556506.0,27614.80808151621,98077.60127647179
2020-04-13,28035.0,33457.1627607335,27651.33713194909,40505.825257536984,18013896.890473,1387803.7701589495,296609.04107318737,581799.0,26759.63374896822,95833.1079099308
2020-04-14,30428.0,35617.92378278047,29351.61223489252,43251.78571200398,18344060.20528849,1435404.048724104,306782.4339429949,608834.0,25930.942422816293,92865.35184764152
2020-04-15,32943.0,37711.77043919541,30954.078044505728,45987.690462220315,18663999.035054296,1481530.243662427,316640.7775670679,637963.0,25127.913978319688,89989.50114287788
