,death,predicted_death,lower_bound,upper_bound,infected,symptomatic,hospitalized,hospital_beds,ICU,confirmed
2020-06-07,451.0,395.2447131365173,44.79739149178025,3487.2205291469245,,8707.005658996866,1860.9090526091345,16986.857397386455,4743.267670367481,17771.0
2020-06-08,493.0,383.0047898043723,41.83691500335222,3506.2974648426552,,8437.367436962348,1803.2804914292078,16460.809039780048,4596.378336495267,17472.0
2020-06-09,946.0,371.143911955185,39.07194656081471,3525.491190130403,,,,,4454.0378659604985,18087.0
2020-06-10,921.0,359.65034132276827,36.489590270303914,3544.8018751487703,,,,,4316.105389735331,20834.0
2020-06-11,888.0,348.5127031511237,34.07779906760971,3564.2297208433806,,,,,4182.44440121866,22888.0
2020-06-12,846.0,337.71997493726144,31.825319068634865,3583.774956840263,,,,,4052.9226211406267,25396.0
2020-06-13,767.0,327.2614755226516,29.7216375392243,3603.4378395174485,,,,,,25540.0
2020-06-14,296.0,317.12685452247666,27.756934252998402,3623.2186502533555,,,,,,19532.0
2020-06-15,395.0,307.30608208224237,25.922036020021576,3643.117693833806,,,,,,19968.0
2020-06-16,836.0,297.7894389516123,24.20837418255007,3663.1352970013777,,,,,,23705.0
